Category,Bug_ID,App,Issue_URL,Bug_Type,CARBON,ReBL,ReActDroid,AdbGPT,Screenshot,CARBON_Reason,ReBL_Reason,ReActDroid_Reason,AdbGPT_Reason,REMARKS
Double Tap,TeamNewPipe_NewPipe_10750,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe/issues/10750,Double Tap,SUCCESS,FAIL,FAIL,FAIL,Dataset/double_tap/TeamNewPipe_NewPipe_10750 Tested/Annotation/annotated.png,"We have successfully triggered a crash screen ('Error report') displaying a 'com.google.android.exoplayer2.ExoPlaybackException' caused by a 'java.net.SocketTimeoutException'. This is a direct manifestation of the 'video playback gets stuck buffering or crashes' behavior described in the bug report. The app entered this unstable state after a series of standard navigation and interaction attempts, confirming the reported instability.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"0/6 steps, 20 MISSING","CARBON: We have successfully triggered a crash screen ('Error report') displaying a 'com.google.android.exoplayer2.ExoPlaybackException' caused by a 'java.net.SocketTimeoutException'. This is a direct manifestation of the 'video playback gets stuck buffering or crashes' behavior described in the bug report. The app entered this unstable state after a series of standard navigation and interaction attempts, confirming the reported instability. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/6 steps, 20 MISSING"
Double Tap,TeamNewPipe_NewPipe_8338,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe/issues/8338,Double Tap,SUCCESS,FAIL,FAIL,FAIL,Dataset/double_tap/TeamNewPipe_NewPipe_8338 Tested/Annotation/annotated.png,"The bug was successfully reproduced. After entering the full-screen video player, I performed a double tap to pause the video, followed by an immediate swipe down. The player UI did not minimize and remained on the screen, which is the exact buggy behavior described in the report.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"0/4 steps, 20 MISSING","CARBON: The bug was successfully reproduced. After entering the full-screen video player, I performed a double tap to pause the video, followed by an immediate swipe down. The player UI did not minimize and remained on the screen, which is the exact buggy behavior described in the report. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/4 steps, 20 MISSING"
Double Tap,abdallahmehiz_mpvKt_184,abdallahmehiz/mpvKt,https://github.com/abdallahmehiz/mpvKt/issues/184,Double Tap,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/double_tap/abdallahmehiz_mpvKt_184 Tested/Annotation/annotated.png,"The bug was successfully reproduced. After opening a video and performing a double tap, a subsequent single tap failed to show the on-screen display (OSD) as expected. The UI remained unchanged, showing only the video content. This confirms the bug report's claim that a single tap is misinterpreted as a double tap (which would pause/play the video without showing the OSD) instead of correctly triggering the OSD.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"6/6 steps, 6 MISSING (fake — tapped random elements)","CARBON: The bug was successfully reproduced. After opening a video and performing a double tap, a subsequent single tap failed to show the on-screen display (OSD) as expected. The UI remained unchanged, showing only the video content. This confirms the bug report's claim that a single tap is misinterpreted as a double tap (which would pause/play the video without showing the OSD) instead of correctly triggering the OSD. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 6/6 steps, 6 MISSING (fake — tapped random elements)"
Double Tap,ankidroid_Anki-Android_17393,ankidroid/Anki-Android,https://github.com/ankidroid/Anki-Android/issues/17393,Double Tap,SUCCESS,SUCCESS,FAIL,FAIL,Dataset/double_tap/ankidroid_Anki-Android_17393 Tested/Annotation/annotated.png,I followed the steps to reproduce the bug. I set the ,Reproduced with basic actions,ReActDroid completed 30 steps without triggering the expected crash.,"0/22 steps, 20 MISSING","CARBON: I followed the steps to reproduce the bug. I set the  | ReBL: Reproduced with basic actions | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/22 steps, 20 MISSING"
Double Tap,cromaguy_Rhythm_281,cromaguy/Rhythm,https://github.com/cromaguy/Rhythm/issues/281,Double Tap,SUCCESS,SUCCESS,FAIL,FAIL,Dataset/double_tap/cromaguy_Rhythm_281 Tested/Annotation/annotated.png,"On the 'Touch Gestures' screen, a single tap on the 'Next' button did not navigate to the next screen. Subsequently, a single tap on the 'Back' button also failed to navigate to the previous screen. This behavior exactly matches the bug report, which states that both buttons require a double tap to function on this screen.",Reproduced with basic actions,ReActDroid completed 30 steps without triggering the expected crash.,"1/4 steps, 11 MISSING","CARBON: On the 'Touch Gestures' screen, a single tap on the 'Next' button did not navigate to the next screen. Subsequently, a single tap on the 'Back' button also failed to navigate to the previous screen. This behavior exactly matches the bug report, which states that both buttons require a double tap to function on this screen. | ReBL: Reproduced with basic actions | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 1/4 steps, 11 MISSING"
Double Tap,fast4x_RiMusic_1152,fast4x/RiMusic,https://github.com/fast4x/RiMusic/issues/1152,Double Tap,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/double_tap/fast4x_RiMusic_1152 Tested/Annotation/annotated.png,"The bug was successfully reproduced. A single tap on the artist's name in the player view was unresponsive. A subsequent second tap (simulating a double-tap) was required to navigate to the artist's page, confirming the core issue described in the bug report.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"4/4 steps, 4 MISSING (fake — tapped random elements)","CARBON: The bug was successfully reproduced. A single tap on the artist's name in the player view was unresponsive. A subsequent second tap (simulating a double-tap) was required to navigate to the artist's page, confirming the core issue described in the bug report. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 4/4 steps, 4 MISSING (fake — tapped random elements)"
Double Tap,gsantner_markor_2746,gsantner/markor,https://github.com/gsantner/markor/issues/2746,Double Tap,SUCCESS,FAIL,FAIL,FAIL,Dataset/double_tap/gsantner_markor_2746 Tested/Annotation/annotated.png,"The bug report states that double-tapping a URL should select it and provide an option to open it, but this functionality is broken. We have successfully followed the reproduction steps: 1. Created a new file. 2. Pasted a URL (",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"0/4 steps, 20 MISSING","CARBON: The bug report states that double-tapping a URL should select it and provide an option to open it, but this functionality is broken. We have successfully followed the reproduction steps: 1. Created a new file. 2. Pasted a URL ( | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/4 steps, 20 MISSING"
Double Tap,openboard-team_openboard_613,openboard-team/openboard,https://github.com/openboard-team/openboard/issues/613,Double Tap,SUCCESS,SUCCESS,FAIL,FAIL,Dataset/double_tap/openboard-team_openboard_613 Tested/Annotation/annotated.png,After setting the system spell checker to ,Reproduced with basic actions,ReActDroid completed 30 steps without triggering the expected crash.,"0/2 steps, 20 MISSING","CARBON: After setting the system spell checker to  | ReBL: Reproduced with basic actions | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/2 steps, 20 MISSING"
Double Tap,openboard-team_openboard_758,openboard-team/openboard,https://github.com/openboard-team/openboard/issues/758,Double Tap,FAIL,FAIL,FAIL,SUCCESS,Dataset/double_tap/openboard-team_openboard_758 Tested F/Annotation/annotated.png,"The bug report describes a failure of the 'Navigate up' button when activated via a screen reader's double-tap gesture, causing no action to occur. My simulation involved using a standard 'click' action on the 'Navigate up' button from within a settings sub-page. This action successfully navigated the app back to the previous screen, which is the correct, non-buggy behavior. The available testing tools do not allow for the simulation of the specific accessibility double-tap gesture required to trigger this bug. Therefore, the reported failure ('nothing happens') could not be reproduced.",Ran but could not reproduce,ReActDroid completed 30 steps without triggering the expected crash.,"6/6 steps, 10 MISSING (fake — tapped random elements)","CARBON: The bug report describes a failure of the 'Navigate up' button when activated via a screen reader's double-tap gesture, causing no action to occur. My simulation involved using a standard 'click' action on the 'Navigate up' button from within a settings sub-page. This action successfully navigated the app back to the previous screen, which is the correct, non-buggy behavior. The available testing tools do not allow for the simulation of the specific accessibility double-tap gesture required to trigger this bug. Therefore, the reported failure ('nothing happens') could not be reproduced. | ReBL: Ran but could not reproduce | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 6/6 steps, 10 MISSING (fake — tapped random elements)"
Double Tap,syt0r_Kanji-Dojo_291,syt0r/Kanji-Dojo,https://github.com/syt0r/Kanji-Dojo/issues/291,Double Tap,SUCCESS,SUCCESS,FAIL,SUCCESS,Dataset/double_tap/syt0r_Kanji-Dojo_291 Tested/Annotation/annotated.png,"By starting a practice session, navigating to the vocab info screen, and then double-tapping the back arrow quickly, the app quit the practice session and returned to the home screen without showing the expected ",Reproduced with basic actions,ReActDroid completed 30 steps without triggering the expected crash.,"8/8 steps, 8 MISSING (fake — tapped random elements)","CARBON: By starting a practice session, navigating to the vocab info screen, and then double-tapping the back arrow quickly, the app quit the practice session and returned to the home screen without showing the expected  | ReBL: Reproduced with basic actions | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 8/8 steps, 8 MISSING (fake — tapped random elements)"
Double Tap,yairm210_Unciv_13517,yairm210/Unciv,https://github.com/yairm210/Unciv/issues/13517,Double Tap,SUCCESS,FAIL,FAIL,FAIL,Dataset/double_tap/yairm210_Unciv_13517 Tested/Annotation/annotated.png,"The bug report states that in the map editor, the 'partially generate' commands do not work. I navigated to the map editor, selected the 'Partial' generation option, and then clicked on the first step, 'Generate landmasses'. As shown by the screenshot and the lack of any visual change on the map, the command did not execute. This confirms the feature is broken as described in the bug report.",No gesture support — lacks required command,ReActDroid encountered an error during execution. [ReActDroid] ERROR: Message: S,"0/6 steps, 10 MISSING","CARBON: The bug report states that in the map editor, the 'partially generate' commands do not work. I navigated to the map editor, selected the 'Partial' generation option, and then clicked on the first step, 'Generate landmasses'. As shown by the screenshot and the lack of any visual change on the map, the command did not execute. This confirms the feature is broken as described in the bug report. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid encountered an error during execution. [ReActDroid] ERROR: Message: S | AdbGPT: 0/6 steps, 10 MISSING"
Drag & Drop,FossifyOrg_Launcher_304,FossifyOrg/Launcher,https://github.com/FossifyOrg/Launcher/issues/304,Drag & Drop,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/drag_and_drop/FossifyOrg_Launcher_304 Tested/Annotation/annotated.png,"Followed the steps to create an invisible folder in the dock. After dragging the 'Camera' app from the app drawer onto the existing 'Camera' app in the dock, the UI returned to the home screen with no visible folder created. This matches the bug report's description of an 'invisible folder' being created. A subsequent attempt to drag another app ('Calendar') to the same location also resulted in no visual change, confirming the buggy behavior that apps are added to this invisible, inaccessible folder.",Ran but could not reproduce,ReActDroid completed 30 steps without triggering the expected crash.,"8/8 steps, 8 MISSING (fake — tapped random elements)","CARBON: Followed the steps to create an invisible folder in the dock. After dragging the 'Camera' app from the app drawer onto the existing 'Camera' app in the dock, the UI returned to the home screen with no visible folder created. This matches the bug report's description of an 'invisible folder' being created. A subsequent attempt to drag another app ('Calendar') to the same location also resulted in no visual change, confirming the buggy behavior that apps are added to this invisible, inaccessible folder. | ReBL: Ran but could not reproduce | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 8/8 steps, 8 MISSING (fake — tapped random elements)"
Drag & Drop,FossifyOrg_Notes_59,FossifyOrg/Notes,https://github.com/FossifyOrg/Notes/issues/59,Drag & Drop,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/drag_and_drop/FossifyOrg_Notes_59 Tested/Annotation/annotated.png,"Attempting to drag-and-drop an unchecked checklist item to reorder it failed. Instead of moving the item, the action incorrectly triggered the app's multi-select mode, which is the buggy behavior described.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"14/14 steps, 22 MISSING (fake — tapped random elements)","CARBON: Attempting to drag-and-drop an unchecked checklist item to reorder it failed. Instead of moving the item, the action incorrectly triggered the app's multi-select mode, which is the buggy behavior described. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 14/14 steps, 22 MISSING (fake — tapped random elements)"
Drag & Drop,LawnchairLauncher_lawnchair_1247,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/1247,Drag & Drop,FAIL,FAIL,FAIL,FAIL,Dataset/drag_and_drop/LawnchairLauncher_lawnchair_1247 Tested F/Annotation/annotated.png,"The bug report specifies a crash when using the TalkBack 'move' action. All attempts to replicate this by moving icons using standard touch gestures (drag-and-drop to a new page, into an existing folder, and creating a new folder) have been executed successfully without triggering the crash. The bug appears to be specific to the TalkBack accessibility service's interaction method, which cannot be simulated with the available actions.",Ran but could not reproduce,ReActDroid completed 30 steps without triggering the expected crash.,"1/6 steps, 11 MISSING","CARBON: The bug report specifies a crash when using the TalkBack 'move' action. All attempts to replicate this by moving icons using standard touch gestures (drag-and-drop to a new page, into an existing folder, and creating a new folder) have been executed successfully without triggering the crash. The bug appears to be specific to the TalkBack accessibility service's interaction method, which cannot be simulated with the available actions. | ReBL: Ran but could not reproduce | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 1/6 steps, 11 MISSING"
Drag & Drop,LawnchairLauncher_lawnchair_4320,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair/issues/4320,Drag & Drop,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/drag_and_drop/LawnchairLauncher_lawnchair_4320 Tested/Annotation/annotated.png,"Following the steps to add a widget by dragging it to the home screen resulted in the app returning to the home screen without the widget being placed. This matches the bug report's description of a crash, which is further confirmed by the provided logcat showing a NullPointerException. The app crashed and was restarted by the system.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"4/4 steps, 4 MISSING (fake — tapped random elements)","CARBON: Following the steps to add a widget by dragging it to the home screen resulted in the app returning to the home screen without the widget being placed. This matches the bug report's description of a crash, which is further confirmed by the provided logcat showing a NullPointerException. The app crashed and was restarted by the system. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 4/4 steps, 4 MISSING (fake — tapped random elements)"
Drag & Drop,MetrolistGroup_Metrolist_3227,MetrolistGroup/Metrolist,https://github.com/MetrolistGroup/Metrolist/issues/3227,Drag & Drop,SUCCESS,FAIL,FAIL,FAIL,Dataset/drag_and_drop/MetrolistGroup_Metrolist_3227 Tested/Annotation/annotated.png,"We have successfully reproduced the bug. After adding a new song to the playlist, we attempted to drag a song from the bottom to the top. Instead of the playlist reordering correctly, the list became corrupted. A different song was moved to the second position, and the song we dragged was moved to the fourth position, not the top. This buggy behavior, where dragging a song results in an incorrect replacement and corruption of the playlist order, matches the description in the bug report.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"0/8 steps, 20 MISSING","CARBON: We have successfully reproduced the bug. After adding a new song to the playlist, we attempted to drag a song from the bottom to the top. Instead of the playlist reordering correctly, the list became corrupted. A different song was moved to the second position, and the song we dragged was moved to the fourth position, not the top. This buggy behavior, where dragging a song results in an incorrect replacement and corruption of the playlist order, matches the description in the bug report. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/8 steps, 20 MISSING"
Drag & Drop,MetrolistGroup_Metrolist_3561,MetrolistGroup/Metrolist,https://github.com/MetrolistGroup/Metrolist/issues/3561,Drag & Drop,SUCCESS,FAIL,FAIL,FAIL,Dataset/drag_and_drop/MetrolistGroup_Metrolist_3561 Tested/Annotation/annotated.png,"We have successfully reproduced the bug. After adding a new song to the playlist, we attempted to drag a song from the bottom to the top. Instead of the playlist reordering correctly, the list became corrupted. A different song was moved to the second position, and the song we dragged was moved to the fourth position, not the top. This buggy behavior, where dragging a song results in an incorrect replacement and corruption of the playlist order, matches the description in the bug report.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"0/13 steps, 20 MISSING","CARBON: We have successfully reproduced the bug. After adding a new song to the playlist, we attempted to drag a song from the bottom to the top. Instead of the playlist reordering correctly, the list became corrupted. A different song was moved to the second position, and the song we dragged was moved to the fourth position, not the top. This buggy behavior, where dragging a song results in an incorrect replacement and corruption of the playlist order, matches the description in the bug report. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/13 steps, 20 MISSING"
Drag & Drop,NeoApplications_Neo-Launcher_130,NeoApplications/Neo-Launcher,https://github.com/NeoApplications/Neo-Launcher/issues/130,Drag & Drop,SUCCESS,FAIL,FAIL,SUCCESS,Dataset/drag_and_drop/NeoApplications_Neo-Launcher_130 Tested/Annotation/annotated.png,"The primary interaction for 'Cover' folders, swiping up to view all apps, does not work. This is a direct match to the bug report's description ('Swiping on it as if it were a Cover does nothing') and blocks any further steps like reordering apps. Attempts to find a workaround by accessing folder settings through direct interaction or through the main launcher settings have also failed, indicating a significant flaw in the feature's implementation.",No gesture support — lacks required command,ReActDroid completed 30 steps without triggering the expected crash.,"0/20 steps, 20 MISSING (fake — tapped random elements)","CARBON: The primary interaction for 'Cover' folders, swiping up to view all apps, does not work. This is a direct match to the bug report's description ('Swiping on it as if it were a Cover does nothing') and blocks any further steps like reordering apps. Attempts to find a workaround by accessing folder settings through direct interaction or through the main launcher settings have also failed, indicating a significant flaw in the feature's implementation. | ReBL: No gesture support — lacks required command | ReActDroid: ReActDroid completed 30 steps without triggering the expected crash. | AdbGPT: 0/20 steps, 20 MISSING (fake — tapped random elements)"
